ICAO_ID ,Name,Size,Latitude,Longitude,municipality,local_region,ID_ST,City,State
US-3204,Beaumont Airport,closed,33.93364,-116.98589,Beaumont,CA,700,Beaumont,CA
US-6971,Lebec Heliport,heliport,34.81107,-118.88781,Lebec,CA,716,Lebec,CA
97CA,Tejon Agricultural Airport,closed,34.989101,-118.915001,Lebec,CA,716,Lebec,CA
KBNG,Banning Municipal Airport,small_airport,33.922548,-116.850672,Banning,CA,7527,Banning,CA
60CN,San Gorgonio Memorial Hospital Heliport,heliport,33.930759,-116.942874,Banning,CA,7527,Banning,CA
US-1712,Monterey Island Condominium Helipad,heliport,34.157171,-118.253354,Glendale,CA,579,Glendale,CA
CL06,Glendale Adventist Medical Center Heliport,heliport,34.151708,-118.230561,Glendale,CA,579,Glendale,CA
95CL,Verdugo Hills Hospital Heliport,heliport,34.204136,-118.217289,Glendale,CA,579,Glendale,CA
US-1313,Glendale Galleria Emergency Helipad,heliport,34.146228,-118.256723,Glendale,CA,579,Glendale,CA
US-1315,Glendale Police Helipad,heliport,34.147022,-118.249283,Glendale,CA,579,Glendale,CA
US-1317,400 North Brand Emergency Helipad,heliport,34.152008,-118.254578,Glendale,CA,579,Glendale,CA
0CL4,Glen Fed Heliport,heliport,34.157179,-118.254637,Glendale,CA,579,Glendale,CA
US-1882,Oasis Airport,small_airport,34.50889,-117.6458,Phelan,CA,740,Phelan,CA
US-1883,Antelope Valley Soaring Club Gliderport,small_airport,34.56135,-117.60316,Phelan,CA,740,Phelan,CA
US-6675,US Border Patrol Boulevard Heliport,heliport,32.68334,-116.29272,Boulevard,CA,741,Boulevard,CA
US-3492,Rough Acres Ranch Airport,small_airport,32.697321,-116.267796,Boulevard,CA,741,Boulevard,CA
KMHV,Mojave Airport,small_airport,35.05939865,-118.1520004,Mojave,CA,840,Mojave,CA
47CL,Spears Heliport,heliport,34.312935,-118.474331,San Fernando,CA,670,San Fernando,CA
US-3673,Mount Pinos Ranger Station Heliport,heliport,34.80794,-119.01326,Frazier Park,CA,769,Frazier Park,CA
US-2403,Lockwood Valley Airfield,closed,34.74213,-119.12543,Frazier Park,CA,769,Frazier Park,CA
US-2404,Lockwood Airpark,small_airport,34.75582,-119.06587,Frazier Park,CA,769,Frazier Park,CA
02CL,Conover Air Lodge Airport,small_airport,34.761101,-119.058998,Frazier Park,CA,769,Frazier Park,CA
US-1878,Black Butte Airfield,small_airport,34.50935,-117.72854,Llano,CA,772,Llano,CA
46CN,Crystal Airport,small_airport,34.484781,-117.825898,Llano,CA,772,Llano,CA
US-1881,Wirt Field,small_airport,34.53139,-117.75359,Llano,CA,772,Llano,CA
US-5853,Cal Fire San Diego Campo Fire Station 40 Heliport,heliport,32.62909,-116.46888,Campo,CA,776,Campo,CA
